,Date,Actual,Forecast,Benchmark,POS,Product
33,2019-07-14 00:00:00,74.0,76.84294740985185,74.85714285714286,292,993
34,2019-07-21 00:00:00,76.0,73.42448339231389,75.14285714285714,292,993
35,2019-07-28 00:00:00,74.0,73.98277012336015,73.0,292,993
36,2019-08-04 00:00:00,68.0,78.41037017193524,70.57142857142857,292,993
37,2019-08-11 00:00:00,79.0,69.59550781452421,70.42857142857143,292,993
38,2019-08-18 00:00:00,53.0,78.83973151758579,73.14285714285714,292,993
39,2019-08-25 00:00:00,68.0,52.49388509801004,71.57142857142857,292,993
40,2019-09-01 00:00:00,56.0,64.89362535681107,70.28571428571429,292,993
41,2019-09-08 00:00:00,67.0,58.24774836661246,67.71428571428571,292,993
42,2019-09-15 00:00:00,74.0,66.97916027051325,66.42857142857143,292,993
43,2019-09-22 00:00:00,98.0,70.19939800933628,66.42857142857143,292,993
44,2019-09-29 00:00:00,94.0,93.73091043851569,70.71428571428571,292,993
45,2019-10-06 00:00:00,96.0,94.71834034132755,72.85714285714286,292,993
46,2019-10-13 00:00:00,136.0,98.1942370690255,79.0,292,993
47,2019-10-20 00:00:00,147.0,132.0796510435267,88.71428571428571,292,993
48,2019-10-27 00:00:00,141.0,144.58708566814752,101.71428571428571,292,993
49,2019-11-03 00:00:00,82.0,140.28950782879983,112.28571428571429,292,993
0,2018-11-25 00:00:00,232.0,190.56034160664996,195.0,292,1147
1,2018-12-02 00:00:00,230.0,227.22872963410438,211.0,292,1147
2,2018-12-09 00:00:00,176.0,230.2186726872892,217.57142857142858,292,1147
3,2018-12-16 00:00:00,240.0,179.74355983330605,214.85714285714286,292,1147
4,2018-12-23 00:00:00,279.0,234.08394338165056,221.57142857142858,292,1147
5,2018-12-30 00:00:00,256.0,277.38440674724677,224.57142857142858,292,1147
6,2019-01-06 00:00:00,314.0,258.91770333585066,228.71428571428572,292,1147
7,2019-01-13 00:00:00,344.0,309.0089158059304,246.71428571428572,292,1147
8,2019-01-20 00:00:00,276.0,342.8076259671715,262.7142857142857,292,1147
9,2019-01-27 00:00:00,290.0,282.0673790958529,269.2857142857143,292,1147
10,2019-02-03 00:00:00,245.0,287.5591756186274,285.57142857142856,292,1147
11,2019-02-10 00:00:00,213.0,247.88361802056414,286.2857142857143,292,1147
12,2019-02-17 00:00:00,179.0,215.1179548309377,276.85714285714283,292,1147
13,2019-02-24 00:00:00,162.0,179.26778003908524,265.85714285714283,292,1147
14,2019-03-03 00:00:00,170.0,162.86744881701057,244.14285714285714,292,1147
15,2019-03-10 00:00:00,110.0,170.5511474856837,219.28571428571428,292,1147
16,2019-03-17 00:00:00,134.0,113.26307541391577,195.57142857142858,292,1147
17,2019-03-24 00:00:00,134.0,134.21642193647904,173.28571428571428,292,1147
18,2019-03-31 00:00:00,105.0,135.02228077691225,157.42857142857142,292,1147
19,2019-04-07 00:00:00,134.0,108.00330310683617,142.0,292,1147
20,2019-04-14 00:00:00,129.0,133.62886675279364,135.57142857142858,292,1147
21,2019-04-21 00:00:00,89.0,129.36615585535927,130.85714285714286,292,1147
22,2019-04-28 00:00:00,128.0,92.65197922875092,119.28571428571429,292,1147
23,2019-05-05 00:00:00,106.0,125.30546360727918,121.85714285714286,292,1147
24,2019-05-12 00:00:00,114.0,106.4382948841143,117.85714285714286,292,1147
25,2019-05-19 00:00:00,88.0,113.58087757397837,115.0,292,1147
26,2019-05-26 00:00:00,87.0,88.61966286739919,112.57142857142857,292,1147
27,2019-06-02 00:00:00,77.0,86.21047028822437,105.85714285714286,292,1147
28,2019-06-09 00:00:00,52.0,78.68918522752604,98.42857142857143,292,1147
29,2019-06-16 00:00:00,70.0,52.391218282440526,93.14285714285714,292,1147
30,2019-06-23 00:00:00,88.0,69.18594256825881,84.85714285714286,292,1147
31,2019-06-30 00:00:00,66.0,87.1964975715411,82.28571428571429,292,1147
32,2019-07-07 00:00:00,54.0,68.09260207116907,75.42857142857143,292,1147
33,2019-07-14 00:00:00,76.0,55.58814775342429,70.57142857142857,292,1147
34,2019-07-21 00:00:00,66.0,75.18478886346037,69.0,292,1147
35,2019-07-28 00:00:00,30.0,66.78356416140227,67.42857142857143,292,1147
36,2019-08-04 00:00:00,66.0,32.89197215982116,64.28571428571429,292,1147
37,2019-08-11 00:00:00,51.0,62.74437887725413,63.714285714285715,292,1147
38,2019-08-18 00:00:00,61.0,52.30692189207933,58.42857142857143,292,1147
39,2019-08-25 00:00:00,57.0,60.32513528933602,57.714285714285715,292,1147
40,2019-09-01 00:00:00,71.0,56.3416407440593,58.142857142857146,292,1147
41,2019-09-08 00:00:00,90.0,69.81648924378274,57.42857142857143,292,1147
42,2019-09-15 00:00:00,79.0,89.52534192397277,60.857142857142854,292,1147
43,2019-09-22 00:00:00,109.0,78.74334300424188,67.85714285714286,292,1147
44,2019-09-29 00:00:00,117.0,107.60794348713503,74.0,292,1147
45,2019-10-06 00:00:00,165.0,116.0755353703421,83.42857142857143,292,1147
46,2019-10-13 00:00:00,184.0,161.69479596602855,98.28571428571429,292,1147
47,2019-10-20 00:00:00,230.0,182.85326618442346,116.42857142857143,292,1147
48,2019-10-27 00:00:00,226.0,226.3885751662175,139.14285714285714,292,1147
49,2019-11-03 00:00:00,99.0,226.03780882168374,158.57142857142858,292,1147
0,2018-11-25 00:00:00,180.0,158.4135859197455,140.42857142857142,292,1234
1,2018-12-02 00:00:00,112.0,175.7260082523377,151.85714285714286,292,1234
2,2018-12-09 00:00:00,165.0,127.60100110728578,153.28571428571428,292,1234
3,2018-12-16 00:00:00,160.0,152.49163544456778,153.85714285714286,292,1234
4,2018-12-23 00:00:00,195.0,156.23908700651057,161.0,292,1234
5,2018-12-30 00:00:00,223.0,187.953850827703,159.42857142857142,292,1234
6,2019-01-06 00:00:00,199.0,214.1453104689437,172.42857142857142,292,1234
7,2019-01-13 00:00:00,224.0,203.4268597756013,176.28571428571428,292,1234
8,2019-01-20 00:00:00,285.0,220.09149001771436,182.57142857142858,292,1234
9,2019-01-27 00:00:00,222.0,264.40205836161005,207.28571428571428,292,1234
10,2019-02-03 00:00:00,149.0,240.0034551608332,215.42857142857142,292,1234
11,2019-02-10 00:00:00,137.0,164.9785849795525,213.85714285714286,292,1234
12,2019-02-17 00:00:00,132.0,139.28644043367325,205.57142857142858,292,1234
13,2019-02-24 00:00:00,93.0,133.90136990863135,192.57142857142858,292,1234
14,2019-03-03 00:00:00,93.0,101.73674955129431,177.42857142857142,292,1234
15,2019-03-10 00:00:00,86.0,90.26627783838599,158.71428571428572,292,1234
16,2019-03-17 00:00:00,78.0,89.11366318911087,130.28571428571428,292,1234
17,2019-03-24 00:00:00,90.0,85.92213689946082,109.71428571428571,292,1234
18,2019-03-31 00:00:00,82.0,86.6312440430182,101.28571428571429,292,1234
19,2019-04-07 00:00:00,85.0,84.25631399276244,93.42857142857143,292,1234
20,2019-04-14 00:00:00,93.0,86.84366756861886,86.71428571428571,292,1234
21,2019-04-21 00:00:00,71.0,90.4591345753364,86.71428571428571,292,1234
22,2019-04-28 00:00:00,56.0,76.31906798904194,83.57142857142857,292,1234
23,2019-05-05 00:00:00,52.0,61.31320127642836,79.28571428571429,292,1234
24,2019-05-12 00:00:00,38.0,55.10436083106977,75.57142857142857,292,1234
25,2019-05-19 00:00:00,70.0,42.17574780222322,68.14285714285714,292,1234
26,2019-05-26 00:00:00,62.0,61.0420929017411,66.42857142857143,292,1234
27,2019-06-02 00:00:00,53.0,64.91043182368122,63.142857142857146,292,1234
28,2019-06-09 00:00:00,49.0,56.56799183376316,57.42857142857143,292,1234
29,2019-06-16 00:00:00,43.0,51.02742754593104,54.285714285714285,292,1234
30,2019-06-23 00:00:00,55.0,45.6821892567092,52.42857142857143,292,1234
31,2019-06-30 00:00:00,46.0,53.47295072390366,52.857142857142854,292,1234
32,2019-07-07 00:00:00,49.0,46.928731824166896,54.0,292,1234
33,2019-07-14 00:00:00,46.0,48.09160739257769,51.0,292,1234
34,2019-07-21 00:00:00,21.0,47.82603674026132,48.714285714285715,292,1234
35,2019-07-28 00:00:00,26.0,28.845919468836605,44.142857142857146,292,1234
36,2019-08-04 00:00:00,32.0,25.451095355645524,40.857142857142854,292,1234
37,2019-08-11 00:00:00,29.0,30.15831615299087,39.285714285714285,292,1234
38,2019-08-18 00:00:00,15.0,31.004549043440786,35.57142857142857,292,1234
39,2019-08-25 00:00:00,47.0,18.156958445875397,31.142857142857142,292,1234
40,2019-09-01 00:00:00,32.0,38.17576859464165,30.857142857142858,292,1234
41,2019-09-08 00:00:00,31.0,38.19855553747463,28.857142857142858,292,1234
42,2019-09-15 00:00:00,55.0,31.79525237911915,30.285714285714285,292,1234
43,2019-09-22 00:00:00,63.0,48.24277207831038,34.42857142857143,292,1234
44,2019-09-29 00:00:00,68.0,60.77327667526698,38.857142857142854,292,1234
45,2019-10-06 00:00:00,80.0,68.03552853478966,44.42857142857143,292,1234
46,2019-10-13 00:00:00,115.0,74.61099515828617,53.714285714285715,292,1234
47,2019-10-20 00:00:00,148.0,105.65397363318401,63.42857142857143,292,1234
48,2019-10-27 00:00:00,172.0,140.02707681176605,80.0,292,1234
49,2019-11-03 00:00:00,68.0,164.10327332693248,100.14285714285714,292,1234
0,2018-11-25 00:00:00,98.0,95.42738815501765,85.14285714285714,292,2802
1,2018-12-02 00:00:00,78.0,82.11000486384916,91.42857142857143,292,2802
2,2018-12-09 00:00:00,127.0,89.66227186185704,90.28571428571429,292,2802
3,2018-12-16 00:00:00,125.0,101.23233184768544,95.85714285714286,292,2802
4,2018-12-23 00:00:00,108.0,123.90158299343761,97.14285714285714,292,2802
5,2018-12-30 00:00:00,68.0,118.43961123534453,103.42857142857143,292,2802
6,2019-01-06 00:00:00,97.0,88.2545547457833,96.28571428571429,292,2802
7,2019-01-13 00:00:00,99.0,81.57071236634162,100.14285714285714,292,2802
8,2019-01-20 00:00:00,94.0,97.62206320489993,100.28571428571429,292,2802
9,2019-01-27 00:00:00,106.0,99.02912269201062,102.57142857142857,292,2802
10,2019-02-03 00:00:00,88.0,99.75980056161362,99.57142857142857,292,2802
11,2019-02-10 00:00:00,102.0,98.25051484246067,94.28571428571429,292,2802
12,2019-02-17 00:00:00,117.0,90.5043072026253,93.42857142857143,292,2802
13,2019-02-24 00:00:00,79.0,110.19416756491015,100.42857142857143,292,2802
14,2019-03-03 00:00:00,101.0,101.15104872103979,97.85714285714286,292,2802
15,2019-03-10 00:00:00,84.0,88.42620254838084,98.14285714285714,292,2802
16,2019-03-17 00:00:00,107.0,93.02756839617865,96.71428571428571,292,2802
17,2019-03-24 00:00:00,99.0,92.96625513497297,96.85714285714286,292,2802
18,2019-03-31 00:00:00,100.0,103.74201357542935,98.42857142857143,292,2802
19,2019-04-07 00:00:00,98.0,102.79511439068169,98.14285714285714,292,2802
20,2019-04-14 00:00:00,144.0,96.36380046503135,95.42857142857143,292,2802
21,2019-04-21 00:00:00,74.0,117.63753725238232,104.71428571428571,292,2802
22,2019-04-28 00:00:00,105.0,113.42429887747761,100.85714285714286,292,2802
23,2019-05-05 00:00:00,102.0,88.6072026242216,103.85714285714286,292,2802
24,2019-05-12 00:00:00,100.0,104.55668559517905,103.14285714285714,292,2802
25,2019-05-19 00:00:00,112.0,100.79701831550493,103.28571428571429,292,2802
26,2019-05-26 00:00:00,103.0,103.3068063797781,105.0,292,2802
27,2019-06-02 00:00:00,110.0,112.41527780693345,105.71428571428571,292,2802
28,2019-06-09 00:00:00,140.0,103.4278237343502,100.85714285714286,292,2802
29,2019-06-16 00:00:00,104.0,122.58277672997858,110.28571428571429,292,2802
30,2019-06-23 00:00:00,106.0,124.6832951524275,110.14285714285714,292,2802
31,2019-06-30 00:00:00,115.0,104.17327016282655,110.71428571428571,292,2802
32,2019-07-07 00:00:00,87.0,110.76795912632613,112.85714285714286,292,2802
33,2019-07-14 00:00:00,152.0,103.73955710887694,109.28571428571429,292,2802
34,2019-07-21 00:00:00,121.0,112.9828902544792,116.28571428571429,292,2802
35,2019-07-28 00:00:00,152.0,142.1021558834114,117.85714285714286,292,2802
36,2019-08-04 00:00:00,103.0,133.4695916729121,119.57142857142857,292,2802
37,2019-08-11 00:00:00,80.0,129.43841189874647,119.42857142857143,292,2802
38,2019-08-18 00:00:00,108.0,94.03977781336918,115.71428571428571,292,2802
39,2019-08-25 00:00:00,77.0,90.23024936979314,114.71428571428571,292,2802
40,2019-09-01 00:00:00,117.0,97.18657199070363,113.28571428571429,292,2802
41,2019-09-08 00:00:00,119.0,95.8908476822457,108.28571428571429,292,2802
42,2019-09-15 00:00:00,99.0,116.81200005484567,108.0,292,2802
43,2019-09-22 00:00:00,119.0,108.86705081932521,100.42857142857143,292,2802
44,2019-09-29 00:00:00,111.0,105.17718988251906,102.71428571428571,292,2802
45,2019-10-06 00:00:00,120.0,115.93235052070416,107.14285714285714,292,2802
46,2019-10-13 00:00:00,84.0,114.97287101785332,108.85714285714286,292,2802
47,2019-10-20 00:00:00,120.0,104.39589595492794,109.85714285714286,292,2802
48,2019-10-27 00:00:00,103.0,100.33217697540256,110.28571428571429,292,2802
49,2019-11-03 00:00:00,74.0,112.00602594774844,108.0,292,2802
0,2018-11-25 00:00:00,58.0,66.67513503522146,53.42857142857143,292,847
1,2018-12-02 00:00:00,96.0,53.833931231603316,57.42857142857143,292,847
2,2018-12-09 00:00:00,73.0,76.17233361044893,64.0,292,847
3,2018-12-16 00:00:00,38.0,85.02058926505907,69.57142857142857,292,847
